embassy_webpages,country,diplomatic_mission_type,phone
https://embassies.net/san-marino-in-france/paris, San Marino,Embassy, 33 1  4723 0475
https://embassies.net/serbia-in-france/paris, Serbia,Embassy,33 1 4072 2424
https://embassies.net/slovakia-in-france/paris, Slovakia,Embassy,33 1449 650 60
https://embassies.net/slovenia-in-france/paris, Slovenia,Permanent Representation,33 144 965 069
https://embassies.net/spain-in-france/paris, Spain,Embassy,33 1 44 43 18 00
https://embassies.net/sweden-in-france/paris, Sweden,Embassy,33 1 44 18 88 00
https://embassies.net/switzerland-in-france/paris, Switzerland,Embassy,33 1 49 55 67 00
https://embassies.net/turkey-in-france/paris, Turkey,Embassy, 33 1 53 92 71 11
https://embassies.net/turkey-in-france/paris, Turkey,Consulate General, 33 1 47 12 30 30
https://embassies.net/ukraine-in-france/paris, Ukraine,Embassy, 33143060737 and  33156581370
https://embassies.net/united-kingdom-in-france/paris, United Kingdom,Embassy,33 0 1 44 51 31 00
https://embassies.net/united-kingdom-in-france/paris, United Kingdom,Consulate,33 0 1 44 51 31 00
https://embassies.net/bahrain-in-france/paris, Bahrain,Embassy,33 1 4723 4868
https://embassies.net/iran-in-france/paris, Iran,Embassy,33 1 40 69 79 00
https://embassies.net/iraq-in-france/paris, Iraq,Embassy,33 1 45 53 33 70
https://embassies.net/israel-in-france/paris, Israel,Embassy,33 1 40765500
https://embassies.net/jordan-in-france/paris, Jordan,Embassy,33 1 5562 0000
https://embassies.net/kuwait-in-france/paris, Kuwait,Embassy,33 1 47 23 54 25
https://embassies.net/lebanon-in-france/paris, Lebanon,Embassy,33 1 4067 7575
https://embassies.net/qatar-in-france/paris, Qatar,Embassy,33 145 519 071
https://embassies.net/saudi-arabia-in-france/paris, Saudi Arabia,Embassy,33146794000
https://embassies.net/syria-in-france/paris, Syria,Embassy,33 1 40 62 61 00
https://embassies.net/united-arab-emirates-in-france/paris, United Arab Emirates,Embassy,33144340200
https://embassies.net/yemen-in-france/paris, Yemen,Embassy,33 1 53 23 87 87
https://embassies.net/canada-in-france/paris, Canada,Embassy,33 01 44 43 29 02
https://embassies.net/mexico-in-france/paris, Mexico,Embassy,33 1 5370 2770
https://embassies.net/united-states-in-france/paris, United States,Embassy,33 1 4312 2222
https://embassies.net/australia-in-france/paris, Australia,Embassy,33 1 4059 3300
https://embassies.net/new-zealand-in-france/paris, New Zealand,Embassy,33 01 45 01 43 43
https://embassies.net/vanuatu-in-france/paris, Vanuatu,Consulate General,33 1 40538225 33 1 43806496
https://embassies.net/argentina-in-france/paris, Argentina,Permanent Mission, 33 1 4568 3442   33 1 4568 3438
https://embassies.net/argentina-in-france/paris, Argentina,Embassy, 33 1 4405 2700
https://embassies.net/bolivia-in-france/paris, Bolivia,Embassy,33 1 4224 9344
https://embassies.net/brazil-in-france/paris, Brazil,Embassy,33  1 45 61 63 00
https://embassies.net/chile-in-france/paris, Chile,Embassy, 33 1  470  546 61
https://embassies.net/colombia-in-france/paris, Colombia,Embassy,33 1 4265 4608
https://embassies.net/ecuador-in-france/paris, Ecuador,Embassy,33 1 45 61 10 04
https://embassies.net/paraguay-in-france/paris, Paraguay,Embassy, 33 1  422  28505
https://embassies.net/peru-in-france/paris, Peru,Permanent Representation,331 4568 2931 and 33 1 4568 2937
https://embassies.net/peru-in-france/paris, Peru,Consulate General,33 1 4265 2510 and 33 1 4265 4940 and 33 1 4265 4941 and 33 1 4265 4942 and 33 1 4265 4943 and 33 1 4265 4946
https://embassies.net/peru-in-france/paris, Peru,Embassy,33 1 5370 4200
https://embassies.net/uruguay-in-france/paris, Uruguay,Embassy,33 1 45 00 81 37
https://embassies.net/venezuela-in-france/paris, Venezuela,Embassy,33 1 45 53 29 98
